4,2,-1,-5,-8,-12,-15,-19,-22,-25,-28,-32,-35,-38,-41,-44,-47,-50,-54,-57,-60,-63,-66,-69,-72,-76,-79,-82,-86,-89,-92,-96,-100,-103,-107,-111,-114,-118,-122,-127,-131,-135,-140,-144,-149,-154,-160,-165,-171,-177,-183,-190,-197,-205,-214,-223,-233,-244,-257,-272,-290,-312,-344,-395
2,4,3,1,-1,-3,-6,-8,-11,-13,-15,-18,-20,-23,-25,-28,-30,-33,-35,-38,-41,-43,-46,-48,-51,-54,-57,-60,-62,-65,-68,-71,-74,-77,-81,-84,-87,-91,-94,-98,-102,-106,-110,-114,-118,-123,-127,-132,-137,-143,-149,-155,-161,-168,-176,-184,-194,-204,-216,-229,-246,-267,-296,-344
-1,3,3,3,2,0,-1,-3,-5,-7,-9,-11,-13,-15,-17,-19,-21,-23,-26,-28,-30,-32,-35,-37,-39,-42,-44,-47,-49,-52,-55,-57,-60,-63,-66,-69,-72,-75,-78,-82,-85,-89,-92,-96,-100,-104,-109,-113,-118,-123,-128,-134,-140,-147,-154,-162,-170,-180,-191,-204,-220,-239,-267,-312
-5,1,3,3,3,2,1,-0,-2,-3,-5,-7,-8,-10,-12,-14,-15,-17,-19,-21,-23,-25,-27,-29,-31,-34,-36,-38,-40,-43,-45,-48,-50,-53,-56,-58,-61,-64,-67,-70,-73,-77,-80,-84,-87,-91,-95,-100,-104,-109,-114,-119,-125,-131,-138,-146,-154,-163,-173,-186,-201,-220,-246,-290
-8,-1,2,3,3,3,2,1,0,-1,-2,-4,-5,-6,-8,-10,-11,-13,-14,-16,-18,-20,-22,-24,-25,-27,-30,-32,-34,-36,-38,-40,-43,-45,-48,-50,-53,-56,-58,-61,-64,-67,-71,-74,-78,-81,-85,-89,-93,-98,-103,-108,-113,-119,-126,-133,-141,-150,-160,-171,-186,-204,-229,-272
-12,-3,0,2,3,3,3,2,1,0,-0,-2,-3,-4,-5,-7,-8,-9,-11,-12,-14,-16,-17,-19,-21,-23,-25,-26,-28,-30,-33,-35,-37,-39,-41,-44,-46,-49,-51,-54,-57,-60,-63,-66,-70,-73,-77,-81,-85,-89,-94,-98,-104,-109,-116,-122,-130,-138,-148,-160,-173,-191,-216,-257
-15,-6,-1,1,2,3,3,2,2,1,1,-0,-1,-2,-3,-4,-6,-7,-8,-10,-11,-12,-14,-16,-17,-19,-21,-22,-24,-26,-28,-30,-32,-34,-36,-38,-41,-43,-46,-48,-51,-54,-57,-60,-63,-66,-70,-73,-77,-81,-86,-91,-96,-101,-107,-114,-121,-129,-138,-150,-163,-180,-204,-244
-19,-8,-3,-0,1,2,2,3,2,2,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-10,-11,-13,-14,-16,-17,-19,-20,-22,-24,-26,-28,-30,-32,-34,-36,-38,-41,-43,-46,-48,-51,-54,-57,-60,-64,-67,-71,-75,-79,-84,-88,-94,-100,-106,-113,-121,-130,-141,-154,-170,-194,-233
-22,-11,-5,-2,0,1,2,2,2,2,2,2,1,0,-0,-1,-2,-3,-4,-5,-6,-8,-9,-10,-11,-13,-14,-16,-17,-19,-21,-22,-24,-26,-28,-30,-32,-34,-37,-39,-41,-44,-46,-49,-52,-55,-58,-62,-65,-69,-73,-78,-82,-87,-93,-99,-106,-114,-122,-133,-146,-162,-184,-223
-25,-13,-7,-3,-1,0,1,2,2,2,2,2,2,1,1,-0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-11,-12,-13,-15,-16,-18,-19,-21,-23,-25,-27,-29,-31,-33,-35,-37,-40,-42,-45,-48,-51,-54,-57,-60,-64,-68,-72,-77,-82,-87,-93,-100,-107,-116,-126,-138,-154,-176,-214
-28,-15,-9,-5,-2,-0,1,2,2,2,2,2,2,2,1,1,-0,-1,-1,-2,-3,-4,-5,-6,-7,-9,-10,-11,-12,-14,-15,-17,-18,-20,-22,-24,-25,-27,-29,-32,-34,-36,-38,-41,-44,-46,-49,-53,-56,-59,-63,-67,-72,-76,-82,-87,-94,-101,-109,-119,-131,-147,-168,-205
-32,-18,-11,-7,-4,-2,-0,1,2,2,2,2,2,2,2,1,1,0,-1,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-12,-13,-15,-16,-18,-19,-21,-23,-25,-26,-28,-31,-33,-35,-37,-40,-43,-46,-49,-52,-55,-59,-63,-67,-72,-77,-82,-88,-96,-104,-113,-125,-140,-161,-197
-35,-20,-13,-8,-5,-3,-1,0,1,2,2,2,2,2,2,2,1,1,0,-0,-1,-2,-3,-4,-4,-5,-6,-8,-9,-10,-11,-13,-14,-15,-17,-19,-20,-22,-24,-26,-28,-30,-32,-34,-37,-39,-42,-45,-48,-51,-55,-59,-63,-67,-72,-78,-84,-91,-98,-108,-119,-134,-155,-190
-38,-23,-15,-10,-6,-4,-2,-1,0,1,2,2,2,2,2,2,2,1,1,0,-0,-1,-2,-2,-3,-4,-5,-6,-7,-8,-9,-11,-12,-13,-15,-16,-18,-20,-21,-23,-25,-27,-29,-31,-34,-36,-39,-42,-45,-48,-51,-55,-59,-63,-68,-73,-79,-86,-94,-103,-114,-128,-149,-183
-41,-25,-17,-12,-8,-5,-3,-2,-0,1,1,2,2,2,2,2,2,2,1,1,0,-0,-1,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-12,-13,-14,-16,-17,-19,-21,-23,-25,-27,-29,-31,-33,-36,-39,-41,-44,-48,-51,-55,-59,-64,-69,-75,-81,-89,-98,-109,-123,-143,-177
